image,ground_truth,detected,mae,error_percent,image_size
1660284000.jpg,2,5,3,150.0,1920x1080
1660287600.jpg,18,23,5,27.77777777777778,1920x1080
1660291200.jpg,45,23,22,48.888888888888886,1920x1080
1660294800.jpg,74,37,37,50.0,1920x1080
1660298400.jpg,92,62,30,32.608695652173914,1920x1080
1660302000.jpg,63,65,2,3.1746031746031744,1920x1080
1660305600.jpg,72,64,8,11.11111111111111,1920x1080
1660309200.jpg,47,59,12,25.53191489361702,1920x1080
1660316400.jpg,57,84,27,47.368421052631575,1920x1080
1660320000.jpg,70,79,9,12.857142857142856,1920x1080
